imdbid,title,IMDB_Score,genres,poster_link
83,Glass (2019),6.7,"Drama, Sci-Fi, Thriller","https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_UY98_CR1,0,67,98_AL_.jpg"
84,Long Shot (2019),6.9,"Comedy, Romance","https://m.media-amazon.com/images/M/MV5BMmE4Mzk0OWQtMDI1OS00NDU3LWI2M2YtNzc1MGMxZGI3ZTE1XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg"
85,Earthquake Bird (2019),7.1,"Crime, Drama, Mystery","https://m.media-amazon.com/images/M/MV5BZDA2NjRkNTktMDg3YS00OTVhLTlmOGMtYWZkMGQyYjVhZjJhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
86,Jumanji_ The Next Level (2019),,"Action, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BODgzZTJjMDItNTNhMy00Y2ViLWFiM2EtODRmMzc2Y2Y3N2E3XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
87,Captain Marvel (2019),7,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_UX67_CR0,0,67,98_AL_.jpg"
88,The Parts You Lose (2019),5.2,"Action, Drama, Thriller","https://m.media-amazon.com/images/M/MV5BZjViOGU0OGUtNTc3MC00YzBiLThiMGItZjBiODViYjEwMjM1XkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
89,Pain & Glory (2019),7.7,Drama,"https://m.media-amazon.com/images/M/MV5BNWU4MTM2YTgtYTRlZC00ZmRhLTlkYTMtZDkyYzNjZDU1NmI0XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
90,Wonder Woman_ Bloodlines (2019),5.8,"Animation, Fantasy","https://m.media-amazon.com/images/M/MV5BZTkyNmMzMTEtZTNjMC00NTg4LWJlNTktZDdmNzE1M2YxN2E4XkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_UX67_CR0,0,67,98_AL_.jpg"
91,Lucky Day (2019),5.1,"Action, Crime, Thriller","https://m.media-amazon.com/images/M/MV5BYzkxYzAzYjUtMjU1Ni00YTZkLTliMmUtZmE1ODA4NThmOTNkXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
92,Semper Fi (2019),6.1,"Action, Drama","https://m.media-amazon.com/images/M/MV5BODg0MThjNGYtYjVkOC00OGM4LThmZmMtMDJmMmVlNGUyMWQyXkEyXkFqcGdeQXVyMTg1MzY1MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
